1.35E-06	0.00050441	0.093721	0.11649
1.35E-05	0.00050441	0.093721	0.11649
1.35E-04	0.00050441	0.093721	0.11649
1.35E-03	0.00050441	0.093721	0.11649
1.35E-02	0.00050441	0.093721	0.11649
1.35E-01	0.00050441	0.093720	0.11645
1.35E+00	0.00050440	0.093713	0.11608
1.35E+01	0.00050432	0.093645	0.11252
1.35E+02	0.00050416	0.093273	0.090867
1.35E+03	0.00051327	0.096234	0.17622
3.38E+03	0.00057722	0.106760	0.25157
3.39E+03	0.00063827	0.116040	0.34191
3.40E+03	0.00082677	0.140520	0.51673
3.42E+03	0.00201360	0.301400	1.3069
3.43E+03	0.00247600	0.375750	1.4247
3.44E+03	0.00084741	0.143710	0.52912
3.46E+03	0.00063148	0.116800	0.31085
3.47E+03	0.00056771	0.105300	0.2273
3.51E+03	0.00052071	0.096434	0.13185
6.75E+03	0.00049799	0.092787	0.048081
1.35E+04	0.00050234	0.092744	0.053135
2.70E+04	0.00050303	0.092756	0.056108
5.40E+04	0.00050334	0.092763	0.060838
1.35E+05	0.00050357	0.092769	0.075689
6.75E+05	0.00050385	0.092780	0.15877
1.35E+06	0.00050397	0.092788	0.25094
1.35E+07	0.00050448	0.092844	0.94788
1.35E+08	0.00050491	0.092903	1.4488
1.35E+09	0.00050500	0.092914	1.5321
1.35E+10	0.00050501	0.092915	1.541
1.35E+11	0.00050501	0.092915	1.5419
1.35E+12	0.00050501	0.092915	1.542
